x_image	y_image	clusters	TABULA_MURIS_SENIS_BRAIN_MYELOID_MICROGLIAL_CELL_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_ASTROCYTE_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_ENDOTHELIAL_CELL_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_NEURON_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_OLIGODENDROCYTE_AGEING
18446	19171	5	0	86.195	0	86.195	86.195
17715	14376	12	100	0	100	100	100
21919	12098	7	0	0	0	0	0
14668	14127	6	100	0	100	100	100
14375	12108	2	0	0	0	0	0
21491	17905	1	0	99.126	0	99.126	99.126
12487	10848	3	5.969	92.582	5.969	98.553	98.551
18148	13113	11	100	0	100	100	100
18158	20181	4	0	100	0	100	100
22073	18914	1	0	100	0	100	100
13796	13623	6	100	0	100	100	100
13945	16400	5	0	5.882	0	5.882	5.882
15822	9582	7	100	0	100	100	100
10740	6306	14	0	100	0	100	100
14519	11855	2	0	0	0	0	0
18298	16899	12	100	0	100	100	100
20901	10332	7	100	0	100	100	100
14093	18672	8	0	100	0	100	100
21782	18409	1	0	100	0	100	100
20469	12605	13	100	0	100	100	100
11480	17161	4	0	100	0	100	100
17717	16395	10	100	0	100	100	100
10887	8073	0	88.889	11.111	88.889	100	100
17430	18920	5	0	0.775	0	0.775	0.775
13798	14633	10	0	0	0	0	0
14964	19176	8	0	100	0	100	100
20330	17401	1	0	0.685	0	0.685	0.685
18737	19676	5	0	100	0	100	100
10597	8074	0	0	0	0	0	0
9438	9590	8	0	100	0	100	100
15686	16398	10	80	20	80	100	100
15397	16903	10	100	0	100	100	100
17426	15386	6	100	0	100	100	100
20176	10586	2	100	0	100	100	100
9443	13124	4	0	100	0	100	100
20624	19926	1	0	99.976	0	99.976	99.976
15685	15388	6	100	0	100	100	100
11475	13626	0	0	0	0	0	0
19451	10839	2	99.994	0	99.994	99.994	99.994
23084	15631	9	93.73	5.996	93.73	99.724	99.724
20185	17654	1	0	100	0	100	100
10598	9084	0	0	0	0	0	0
19027	19675	1	0	100	0	100	100
